
     Program DYNMAT v.6.4 starts on  7Jan2021 at 20:25:31 

     This program is part of the open-source Quantum ESPRESSO suite
     for quantum simulation of materials; please cite
         "P. Giannozzi et al., J. Phys.:Condens. Matter 21 395502 (2009);
         "P. Giannozzi et al., J. Phys.:Condens. Matter 29 465901 (2017);
          URL http://www.quantum-espresso.org", 
     in publications or presentations arising from this work. More details at
     http://www.quantum-espresso.org/quote

     Parallel version (MPI), running on    16 processors

     MPI processes distributed on     1 nodes
     R & G space division:  proc/nbgrp/npool/nimage =      16

     Reading Dynamical Matrix from file AlPO3_3.dynG
     ...Force constants read
     ...epsilon and Z* read
     ...Raman cross sections read
     Acoustic Sum Rule: || Z*(ASR) - Z*(orig)|| =    7.217650E-02
     Acoustic Sum Rule: ||dyn(ASR) - dyn(orig)||=    1.195549E-01
     A direction for q was not specified:TO-LO splitting will be absent

     Polarizability (A^3 units)
     multiply by 0.667384 for Clausius-Mossotti correction
       301.277472   -0.000700   -0.000700
        -0.000700  301.277472   -0.000700
        -0.000700   -0.000700  301.277472

     IR activities are in (D/A)^2/amu units
     Raman activities are in A^4/amu units
     multiply Raman by 0.445401 for Clausius-Mossotti correction

# mode   [cm-1]    [THz]      IR          Raman   depol.fact
  113     84.02    2.5190    0.0222         0.3959    0.2244
  114     87.31    2.6175    0.0504         0.1235    0.2223
  115     92.60    2.7761    0.3800         0.6790    0.7500
  116     92.60    2.7761    0.3800         0.6790    0.7500
  117     94.74    2.8401    0.4803         2.2682    0.7500
  118     94.74    2.8401    0.4803         2.2682    0.7500
  119     98.81    2.9624    0.0010         0.5339    0.5747
  120    102.13    3.0618    0.1739         1.7530    0.7500
  121    102.13    3.0618    0.1739         1.7530    0.7500
  122    103.58    3.1051    0.0090         2.4391    0.0639
  123    107.76    3.2307    0.8885         5.5162    0.7500
  124    107.76    3.2307    0.8885         5.5162    0.7500
  125    111.56    3.3446    0.0367         7.7117    0.0060
  126    114.97    3.4467    0.0216         0.4805    0.5809
  127    122.18    3.6629    0.0064         0.0116    0.3560
  128    126.91    3.8047    0.0444        37.7191    0.0052
  129    130.12    3.9008    0.2402         0.5131    0.7500
  130    130.12    3.9008    0.2402         0.5131    0.7500
  131    133.07    3.9892    0.1195         2.7345    0.0003
  132    142.74    4.2792    0.0240         0.2477    0.7500
  133    142.74    4.2792    0.0240         0.2477    0.7500
  134    146.06    4.3786    0.0719         5.4201    0.0171
  135    147.56    4.4238    0.4919         7.1361    0.0002
  136    149.60    4.4848    0.0529         1.2600    0.7500
  137    149.60    4.4848    0.0529         1.2600    0.7500
  138    152.32    4.5665    0.0049         2.7458    0.0174
  139    153.98    4.6163    1.6872         3.3550    0.7500
  140    153.98    4.6163    1.6872         3.3550    0.7500
  141    156.98    4.7063    0.0765        40.6524    0.0079
  142    169.23    5.0734    0.0575        11.6796    0.7500
  143    169.23    5.0734    0.0575        11.6796    0.7500
  144    173.19    5.1920    0.0124         3.5922    0.0000
  145    173.83    5.2113    0.0025         0.9698    0.7500
  146    173.83    5.2113    0.0025         0.9698    0.7500
  147    176.01    5.2767    0.6396         1.5823    0.6503
  148    180.63    5.4152    0.3061         1.2450    0.3051
  149    182.58    5.4737    0.0100         0.4519    0.7500
  150    182.58    5.4737    0.0100         0.4519    0.7500
  151    186.29    5.5848    0.0650         0.2421    0.7500
  152    186.29    5.5848    0.0650         0.2421    0.7500
  153    192.46    5.7697    0.3807         0.0270    0.7500
  154    192.46    5.7697    0.3807         0.0270    0.7500
  155    197.77    5.9291    0.4404         1.3966    0.7500
  156    197.77    5.9291    0.4404         1.3966    0.7500
  157    198.78    5.9593    1.2815         0.2936    0.6802
  158    201.13    6.0298    0.9880         1.4217    0.7500
  159    201.13    6.0298    0.9880         1.4217    0.7500
  160    204.51    6.1311    0.7433         2.4082    0.7500
  161    204.51    6.1311    0.7433         2.4082    0.7500
  162    204.60    6.1338    0.0035         0.9432    0.0127
  163    206.95    6.2041    0.1214         0.0536    0.0841
  164    213.64    6.4049    0.0524         0.8391    0.7500
  165    213.64    6.4049    0.0524         0.8391    0.7500
  166    213.69    6.4063    0.0054         3.0945    0.4029
  167    217.05    6.5070    0.0120         2.1737    0.7500
  168    217.05    6.5070    0.0120         2.1737    0.7500
  169    217.64    6.5246    0.0238         2.0923    0.0000
  170    220.26    6.6032    0.0688         0.2555    0.0414
  171    221.09    6.6281    1.2732         1.8988    0.7500
  172    221.09    6.6281    1.2732         1.8988    0.7500
  173    221.95    6.6538    0.0064         0.8388    0.0573
  174    224.29    6.7239    0.0980         1.2024    0.7500
  175    224.29    6.7239    0.0980         1.2024    0.7500
  176    224.32    6.7249    0.0000         0.2862    0.0673
  177    228.01    6.8356    0.2504         0.6802    0.0137
  178    232.20    6.9611    0.0317         2.8628    0.7500
  179    232.20    6.9611    0.0317         2.8628    0.7500
  180    232.26    6.9628    0.2986         2.6951    0.0011
  181    235.55    7.0617    0.1048        12.2669    0.7500
  182    235.55    7.0617    0.1048        12.2669    0.7500
  183    239.51    7.1803    0.0261        23.2883    0.0000
  184    240.12    7.1986    0.0066         1.4518    0.7500
  185    240.12    7.1986    0.0066         1.4518    0.7500
  186    243.23    7.2918    0.0788         0.4462    0.7500
  187    243.23    7.2918    0.0788         0.4462    0.7500
  188    245.28    7.3532    5.9172         0.2411    0.0441
  189    245.51    7.3601    2.3918         0.0935    0.0135
  190    248.17    7.4400    0.0947         0.0860    0.7500
  191    248.17    7.4400    0.0947         0.0860    0.7500
  192    250.97    7.5240    0.0916         0.2010    0.2166
  193    251.55    7.5414    0.4948         2.2875    0.7500
  194    251.55    7.5414    0.4948         2.2875    0.7500
  195    256.19    7.6804    0.7031         2.1692    0.7500
  196    256.19    7.6804    0.7031         2.1692    0.7500
  197    258.05    7.7362    0.1616         0.4181    0.0053
  198    259.52    7.7803    0.8971         3.8084    0.7500
  199    259.52    7.7803    0.8971         3.8084    0.7500
  200    262.07    7.8566    0.2048         0.0835    0.7016
  201    263.11    7.8879    3.8296         2.7015    0.7500
  202    263.11    7.8879    3.8296         2.7015    0.7500
  203    267.09    8.0073    1.8049         2.0624    0.7500
  204    267.09    8.0073    1.8049         2.0624    0.7500
  205    268.34    8.0447    1.4448         0.9066    0.7500
  206    268.34    8.0447    1.4448         0.9066    0.7500
  207    269.43    8.0773    2.2202         0.2350    0.0461
  208    273.89    8.2109    0.0408         1.3668    0.6950
  209    274.29    8.2231    2.8676         1.3170    0.3401
  210    274.96    8.2431    0.6486         2.2232    0.7500
  211    274.96    8.2431    0.6486         2.2232    0.7500
  212    277.20    8.3101    0.0594        15.0444    0.7500
  213    277.20    8.3101    0.0594        15.0444    0.7500
  214    280.32    8.4039    0.2609         0.5069    0.2281
  215    281.85    8.4495    0.0146         0.2655    0.5352
  216    283.03    8.4851    0.2226         3.4665    0.7500
  217    283.03    8.4851    0.2226         3.4665    0.7500
  218    285.73    8.5659    0.6301        19.5696    0.7500
  219    285.73    8.5659    0.6301        19.5696    0.7500
